Period,Total Attendances,Number of patients spending >4 hours from decision to admit to admission,Total Emergency Admissions
2021-04-01,1866232.0,48719.0,510262.0
2021-05-01,2075542.0,57308.0,543965.0
2021-06-01,2157132.0,66621.0,535402.0
2021-07-01,2160128.0,89762.0,532712.0
2021-08-01,2035967.0,96008.0,503886.0
2021-09-01,2127204.0,104873.0,507086.0
2021-10-01,2164802.0,121250.0,517183.0
2021-11-01,2037955.0,120744.0,506242.0
2021-12-01,1874642.0,120131.0,499055.0
2022-01-01,1875202.0,122433.0,484952.0
2022-02-01,1825363.0,114908.0,459952.0
2022-03-01,2174798.0,136298.0,514255.0
2022-04-01,2028796.0,131604.0,479779.0
2022-05-01,2233053.0,125318.0,517711.0
2022-06-01,2191691.0,130357.0,503048.0
2022-07-01,2181655.0,135819.0,497099.0
2022-08-01,1995679.0,130148.0,482009.0
2022-09-01,2008489.0,131572.0,487477.0
2022-10-01,2188028.0,150786.0,506847.0
2022-11-01,2178804.0,143672.0,515525.0
2022-12-01,2294079.0,170121.0,517444.0
2023-01-01,1968338.0,142210.0,508779.0
2023-02-01,1914279.0,126947.0,472856.0
2023-03-01,2165951.0,144308.0,532091.0
2023-04-01,2034040.0,113083.0,490473.0
2023-05-01,2245919.0,122427.0,528935.0
2023-06-01,2225726.0,113791.0,522723.0
2023-07-01,2199787.0,108240.0,534682.0
2023-08-01,2109861.0,118962.0,523881.0
2023-09-01,2170046.0,124956.0,521228.0
2023-10-01,2224320.0,143850.0,546871.0
2023-11-01,2167584.0,145934.0,544643.0
2023-12-01,2184918.0,148105.0,546143.0
2024-01-01,2230825.0,158735.0,556254.0
2024-02-01,2157822.0,139467.0,527343.0
2024-03-01,2370221.0,140195.0,567456.0
2024-04-01,2240668.0,134344.0,544113.0
2024-05-01,2416292.0,138770.0,564693.0
2024-06-01,2294065.0,128114.0,536884.0
2024-07-01,2324832.0,129330.0,552468.0
2024-08-01,2160791.0,116489.0,525633.0
2024-09-01,2214217.0,130632.0,530824.0
2024-10-01,2360536.0,148788.0,567448.0
2024-11-01,2314998.0,140782.0,552161.0
2024-12-01,2345934.0,154689.0,552592.0
2025-01-01,2218130.0,159582.0,548775.0
2025-02-01,2088071.0,131237.0,496095.0
2025-03-01,2389064.0,133957.0,551129.0
2025-04-01,2297421.0,131856.0,528230.0
2025-05-01,2397529.0,130035.0,545128.0
2025-06-01,2351581.0,118171.0,535941.0
2025-07-01,2408866.0,115542.0,559392.0
2025-08-01,2266937.0,115826.0,526399.0
2025-09-01,2310222.0,129004.0,535580.0
2025-10-01,2397701.0,142734.0,554193.0
2025-11-01,2345860.0,133799.0,531747.0
2025-12-01,2327015.0,137763.0,542195.0
