Period,Total Attendances,Total Emergency Admissions,Patients Waiting Over 4 Hours for Admission,Pressure Score,Occupancy Rate
2022-12-01,2294079.0,517444.0,170121.0,0.9110267142752325,0.9395237999879849
2023-01-01,1968338.0,508779.0,142210.0,0.8105561219069073,0.9413667331911086
2023-02-01,1914279.0,472856.0,126947.0,0.7408573946750472,0.9411822893997547
2023-03-01,2165951.0,532091.0,144308.0,0.865957347818922,0.9394708155782381
2023-04-01,2034040.0,490473.0,113083.0,0.7129752813467986,0.9236072256414355
2023-05-01,2245919.0,528935.0,122427.0,0.8185773491418346,0.9299409513723061
2023-06-01,2225726.0,522723.0,113791.0,0.7910333353683308,0.9280952857571815
2023-07-01,2199787.0,534682.0,108240.0,0.7600492755109085,0.916172683665741
2023-08-01,2109861.0,523881.0,118962.0,0.7517385440988212,0.9168645600703321
2023-09-01,2170046.0,521228.0,124956.0,0.7993039957081658,0.929
2023-10-01,2224320.0,546871.0,143850.0,0.889125610680478,0.939
2023-11-01,2167584.0,544643.0,145934.0,0.8985302247992364,0.946
2023-12-01,2184918.0,546143.0,148105.0,0.8598383601766377,0.928
2024-01-01,2230825.0,556254.0,158735.0,0.9248862407418222,0.94
2024-02-01,2157822.0,527343.0,139467.0,0.8563441571484907,0.941
2024-03-01,2370221.0,567456.0,140195.0,0.9267436052584135,0.938
2024-04-01,2240668.0,544113.0,134344.0,0.8643975235286565,0.935
2024-05-01,2416292.0,564693.0,138770.0,0.9139487734375268,0.932
2024-06-01,2294065.0,536884.0,128114.0,0.838392979454007,0.928
2024-07-01,2324832.0,552468.0,129330.0,0.8512118082810322,0.924
2024-08-01,2160791.0,525633.0,116489.0,0.7509478239217443,0.914
2024-09-01,2214217.0,530824.0,130632.0,0.8251531552695516,0.929
2024-10-01,2360536.0,567448.0,148788.0,0.9380291254098393,0.938
2024-11-01,2314998.0,552161.0,140782.0,0.9051231518405379,0.939
2024-12-01,2345934.0,552592.0,154689.0,0.9032631302701918,0.928
2025-01-01,2218130.0,548775.0,159582.0,0.916280035833954,0.94
2025-02-01,2088071.0,496095.0,131237.0,0.7999220370465232,0.941
2025-03-01,2389064.0,551129.0,133957.0,0.8932575470101574,0.934
2025-04-01,2297421.0,528230.0,131856.0,0.8355917657269475,0.928
2025-05-01,2397529.0,545128.0,130035.0,0.8670822401549471,0.928
2025-06-01,2351581.0,535941.0,118171.0,0.8243325707338145,0.925
2025-07-01,2408866.0,559392.0,115542.0,0.8439610138564345,0.921
2025-08-01,2266937.0,526399.0,115826.0,0.7735967283398365,0.916
2025-09-01,2310222.0,535580.0,129004.0,0.846225366486098,0.93
2025-10-01,2397701.0,554193.0,142734.0,0.9136398372309085,0.935
2025-11-01,2345860.0,531747.0,133799.0,0.8682796821349739,0.935
2025-12-01,2327015.0,542195.0,137763.0,0.8458482385828945,0.921
